iter	R2	RMSE	MAE
0	-1.940730585	415230.1661	337871.1333
1	-1.831278869	407429.6226	328874.5386
2	-1.729342957	400027.9468	320315.066
3	-1.630736737	392735.3309	311977.7134
4	-1.536336974	385624.6207	304165.7789
5	-1.442350194	378412.3008	295975.9997
6	-1.36123396	372075.2552	288927.1109
7	-1.278356586	365487.1616	281693.414
8	-1.200624863	359198.3107	274916.8415
9	-1.126975487	353136.4284	268536.1414
10	-1.059396033	347481.1209	262624.5365
11	-0.9928713478	341822.7072	256861.7615
12	-0.9294667723	336341.0919	251262.6906
13	-0.8737315618	331447.6651	246342.3449
14	-0.8185651472	326531.9709	241358.3497
15	-0.7668207429	321852.9711	236799.3505
16	-0.715160662	317112.7337	232045.9909
17	-0.6647268285	312415.64	227473.5706
18	-0.619825004	308173.5258	223373.2937
19	-0.5769277981	304065.5249	219454.7444
20	-0.5378760393	300276.9135	215921.1345
21	-0.4985450454	296412.2711	212294.4901
22	-0.4582132502	292396.2496	208613.3596
23	-0.424592604	289005.8412	205563.7544
24	-0.389814097	285456.3012	202386.9102
25	-0.3567602917	282041.386	199387.8023
26	-0.3259557797	278821.204	196587.1121
27	-0.2966696012	275724.8712	193959.5392
28	-0.2672631354	272580.4339	191290.9407
29	-0.2403663132	269672.2504	188858.629
30	-0.2137296359	266760.9504	186530.9616
31	-0.187824885	263898.8439	184273.0389
32	-0.1644345088	261287.6071	182182.7875
33	-0.1410208478	258647.3705	180047.1038
34	-0.119193893	256161.5508	178186.8482
35	-0.09904865421	253845.6568	176442.7025
36	-0.08041756614	251684.8627	174838.0163
37	-0.06201938543	249532.7196	173277.6358
38	-0.044971649	247521.844	171871.627
39	-0.0291404619	245639.7261	170676.8037
40	-0.01266449642	243665.5152	169246.3524
41	0.002371225059	241849.8161	167963.4116
42	0.01777299018	239975.6707	166580.2423
43	0.03256184304	238162.2278	165277.4077
44	0.04809126179	236242.9922	163965.8755
45	0.06054625713	234692.3742	163006.4575
46	0.07289054372	233145.3635	161951.6359
47	0.08399087497	231745.4296	161109.9627
48	0.09460599481	230398.7323	160273.1783
49	0.1051874006	229048.432	159445.0385
50	0.1147353632	227823.1414	158700.6474
51	0.1248976196	226511.737	157957.6476
52	0.1349777493	225203.3867	157171.6239
53	0.1441406233	224007.4614	156515.6297
54	0.1529429294	222852.5531	155783.4619
55	0.161733853	221693.1334	155102.2561
56	0.1702433358	220565.0275	154467.9483
57	0.1788225713	219421.8031	153850.6656
58	0.1870521144	218319.5517	153213.8344
59	0.1944773001	217320.2368	152633.5709
60	0.2022277086	216272.2268	152085.1559
61	0.2088643361	215370.7692	151690.5606
62	0.2160838276	214385.8364	151175.1056
63	0.2220244434	213571.9701	150793.9499
64	0.2286224744	212664.387	150370.9697
65	0.2344587254	211858.3489	150021.425
66	0.2408372708	210973.8931	149615.8907
67	0.2472086516	210086.7136	149198.5461
68	0.2522515362	209381.8548	148888.9228
69	0.2581238417	208558.0632	148513.7547
70	0.2624341168	207951.323	148278.2421
71	0.2687057489	207065.3151	147844.3574
72	0.273020318	206453.5782	147577.6529
73	0.2767850308	205918.3175	147392.7471
74	0.2814054215	205259.4902	147108.196
75	0.2866540647	204508.5047	146733.0038
76	0.290610581	203940.5711	146427.503
77	0.294996858	203309.0936	146125.7651
78	0.2990367954	202725.7373	145895.6524
79	0.3021514985	202274.8338	145737.9791
80	0.306733131	201609.7359	145433.7904
81	0.3116978096	200886.5469	145007.2097
82	0.3153855827	200347.671	144763.3176
83	0.3192577983	199780.279	144494.8675
84	0.3234681695	199161.5031	144190.0731
85	0.3260804385	198776.6235	144059.8082
86	0.3296663387	198247.0767	143827.5135
87	0.3327065701	197797.0009	143642.4028
88	0.3367636481	197194.791	143406.3068
89	0.3398761827	196731.5343	143195.2538
90	0.3431380297	196244.881	142936.6526
91	0.3454950452	195892.4722	142813.1994
92	0.3481611636	195493.0822	142642.3235
93	0.3507128723	195110.0653	142523.3564
94	0.353684191	194663.1144	142324.474
95	0.3567183091	194205.6556	142088.9396
96	0.3597825699	193742.5559	141883.4985
97	0.3625106379	193329.3313	141706.6169
98	0.3647683945	192986.6764	141561.1202
99	0.3681638172	192470.2118	141283.2838
